,Nikkiso,Osram 4.7 mW,Osram 42 mW,CIS,Stanely
Wavelength(nm),Intensity,Intensity,Intensity,Intensity,Intensity
,,,,,
195.34,1.43874E-07,2.47711E-08,4.04643E-07,2.7108E-08,9.1918E-09
195.91,1.66716E-07,2.32652E-08,3.46424E-07,2.41432E-08,8.92565E-09
196.47,1.33854E-07,2.10812E-08,3.27591E-07,2.60415E-08,7.44043E-09
197.04,1.18604E-07,1.9518E-08,3.40561E-07,2.2836E-08,7.93731E-09
197.61,1.22976E-07,1.80513E-08,3.1281E-07,2.08142E-08,6.0171E-09
198.18,1.21145E-07,1.60223E-08,3.06195E-07,1.93312E-08,7.31451E-09
198.74,9.24155E-08,1.58513E-08,2.60617E-07,1.83281E-08,8.47607E-09
199.31,1.13965E-07,8.30143E-09,2.6704E-07,2.72537E-08,7.51827E-09
199.88,9.53845E-08,1.3719E-08,2.52248E-07,1.59558E-08,7.456E-09
200.45,8.91014E-08,1.50477E-08,2.42971E-07,1.84547E-08,3.69093E-09
201.02,8.93255E-08,1.43541E-08,2.39889E-07,1.6927E-08,7.67357E-09
201.58,7.93496E-08,1.31463E-08,2.30036E-07,1.37907E-08,3.52286E-09
202.15,8.69083E-08,1.4247E-08,2.17574E-07,1.54752E-08,4.66713E-09
202.72,8.13702E-08,1.30593E-08,2.04502E-07,1.38829E-08,4.62762E-09
203.29,8.01197E-08,2.08335E-08,1.81727E-07,1.49458E-08,5.28386E-09
203.85,7.99581E-08,1.16307E-08,1.86044E-07,1.34786E-08,5.28999E-09
204.42,7.20243E-08,1.33025E-08,1.89041E-07,1.27788E-08,5.51652E-09
204.99,7.70793E-08,6.15762E-09,1.72773E-07,1.29209E-08,4.77804E-09
205.56,6.70646E-08,1.15087E-08,1.72127E-07,1.23865E-08,4.61647E-09
206.13,6.94452E-08,1.12344E-08,1.18829E-07,1.1612E-08,5.41265E-09
206.69,6.92586E-08,1.03033E-08,1.6031E-07,8.66208E-09,4.37663E-09
207.26,6.91355E-08,8.73491E-09,1.63941E-07,1.20877E-08,4.35275E-09
207.83,6.5189E-08,8.41057E-09,1.53177E-07,1.21009E-08,2.23138E-09
208.40,7.01612E-08,1.01474E-08,1.45683E-07,1.02305E-08,5.82225E-09
208.97,6.44195E-08,8.8261E-09,1.56386E-07,1.13363E-08,4.37257E-09
209.53,6.82985E-08,8.97501E-09,1.46807E-07,1.00772E-08,3.93641E-09
210.10,6.49592E-08,7.3579E-09,1.51089E-07,1.19566E-08,4.3943E-09
210.67,7.00124E-08,8.34648E-09,1.40949E-07,9.83693E-09,5.56432E-09
211.24,6.47474E-08,9.94984E-09,1.32043E-07,1.05309E-08,4.35759E-09
211.81,6.7925E-08,8.49529E-09,1.27769E-07,9.4864E-09,7.92893E-09
212.38,7.797E-08,8.95907E-09,1.31264E-07,1.02685E-08,5.23761E-09
212.94,6.56454E-08,7.26803E-09,1.28627E-07,9.69071E-09,4.0378E-09
213.51,6.62196E-08,8.70755E-09,1.22957E-07,1.08681E-08,4.40833E-09
214.08,6.65778E-08,7.43006E-09,1.29252E-07,9.99216E-09,5.46579E-09
214.65,6.24406E-08,8.24669E-09,1.30645E-07,1.03708E-08,4.99799E-09
215.22,6.3463E-08,7.50984E-09,1.21578E-07,9.58573E-09,4.96585E-09
215.78,6.9255E-08,7.88506E-09,1.20143E-07,1.05134E-08,4.69918E-09
